1, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
35, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
36, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
37, repurposed_structures:pyramid_dark_forest, HEADING, header:ignore, 0, 0, 0
38, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
39, awesomedungeonnether:nth_blaze_tower, HEADING, header:ignore, 0, 0, 0
40, repurposed_structures:monument_desert, HEADING, header:ignore, 0, 0, 0
41, repurposed_structures:monument_desert, MONSTER, minecraft:husk, 20, 1, 4
42, repurposed_structures:monument_desert, MONSTER, minecraft:creeper, 15, 1, 2
43, repurposed_structures:monument_desert, MONSTER, minecraft:skeleton, 10, 1, 3
44, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
45, repurposed_structures:mineshaft_birch, HEADING, header:ignore, 0, 0, 0
46, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
47, mvs:houses/flower_hole, HEADING, header:ignore, 0, 0, 0
48, repurposed_structures:mineshaft_savanna, HEADING, header:ignore, 0, 0, 0
49, repurposed_structures:village_warped, HEADING, header:ignore, 0, 0, 0
50, repurposed_structures:outpost_icy, HEADING, header:ignore, 0, 0, 0
51, repurposed_structures:outpost_icy, MONSTER, minecraft:pillager, 10, 1, 1
52, survivalexpansion:crimtree3, HEADING, header:ignore, 0, 0, 0
53, mvs:log_pile/acacia_log_pile, HEADING, header:ignore, 0, 0, 0
54, gd:merchant, HEADING, header:ignore, 0, 0, 0
55, end:cathedral, HEADING, header:ignore, 0, 0, 0
56, mvs:gallows, HEADING, header:ignore, 0, 0, 0
57, survivalexpansion:dreadcastle, HEADING, header:ignore, 0, 0, 0
58, repurposed_structures:village_jungle, HEADING, header:ignore, 0, 0, 0
59, repurposed_structures:witch_hut_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
60, repurposed_structures:witch_hut_giant_tree_taiga, MONSTER, minecraft:witch, 5, 1, 1
61, repurposed_structures:witch_hut_giant_tree_taiga, CREATURE, minecraft:cat, 5, 1, 1
62, repurposed_structures:pyramid_icy, HEADING, header:ignore, 0, 0, 0
63, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
64, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
65, mvs:ruins/log_ruin, HEADING, header:ignore, 0, 0, 0
66, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
67, repurposed_structures:witch_hut_mangrove, HEADING, header:ignore, 0, 0, 0
68, repurposed_structures:witch_hut_mangrove, MONSTER, minecraft:witch, 5, 1, 1
69, repurposed_structures:witch_hut_mangrove, CREATURE, minecraft:cat, 5, 1, 1
70, mvs:stall/blue_stall, HEADING, header:ignore, 0, 0, 0
71, soulsweapons:cathedral_of_resurrection, HEADING, header:ignore, 0, 0, 0
72, soulsweapons:cathedral_of_resurrection, MONSTER, soulsweapons:dark_sorcerer, 20, 1, 4
73, repurposed_structures:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
74, repurposed_structures:temple_ocean, HEADING, header:ignore, 0, 0, 0
75, repurposed_structures:stronghold_nether, HEADING, header:ignore, 0, 0, 0
76, repurposed_structures:stronghold_nether, MONSTER, minecraft:blaze, 10, 2, 3
77, repurposed_structures:stronghold_nether, MONSTER, minecraft:zombified_piglin, 30, 4, 4
78, repurposed_structures:stronghold_nether, MONSTER, minecraft:wither_skeleton, 10, 5, 5
79, repurposed_structures:stronghold_nether, MONSTER, minecraft:skeleton, 20, 5, 5
80, repurposed_structures:stronghold_nether, MONSTER, minecraft:magma_cube, 30, 4, 4
81, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
82, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
83, graveyard:small_desert_graveyard, HEADING, header:ignore, 0, 0, 0
84, graveyard:small_desert_graveyard, MONSTER, minecraft:vindicator, 5, 1, 1
85, graveyard:small_desert_graveyard, MONSTER, minecraft:pillager, 10, 1, 1
86, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
87, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
88, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 5, 1, 1
89, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 5, 1, 1
90, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
91, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
92, survivalexpansion:havenigloo, HEADING, header:ignore, 0, 0, 0
93, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
94, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
95, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
96, mvs:other_decoration/fox_hut, HEADING, header:ignore, 0, 0, 0
97, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
98, mvs:other_decoration/end_scraps/end_scraps_1, HEADING, header:ignore, 0, 0, 0
99, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
100, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
101, mvs:other_decoration/end_scraps/end_scraps_3, HEADING, header:ignore, 0, 0, 0
102, repurposed_structures:witch_hut_taiga, HEADING, header:ignore, 0, 0, 0
103, repurposed_structures:witch_hut_taiga, MONSTER, minecraft:witch, 5, 1, 1
104, repurposed_structures:witch_hut_taiga, CREATURE, minecraft:cat, 5, 1, 1
105, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
106, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
107, repurposed_structures:pyramid_mushroom, HEADING, header:ignore, 0, 0, 0
108, end:pyramid, HEADING, header:ignore, 0, 0, 0
109, mvs:sunzi_gate, HEADING, header:ignore, 0, 0, 0
110, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
111, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
112, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
113, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
114, betterfortresses:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
115, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
116, repurposed_structures:ruins_land_cold, HEADING, header:ignore, 0, 0, 0
117, awesomedungeonnether:nth_accum_quad, HEADING, header:ignore, 0, 0, 0
118, survivalexpansion:floor, HEADING, header:ignore, 0, 0, 0
119, mvs:railway, HEADING, header:ignore, 0, 0, 0
120, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
121, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
122, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
123, survivalexpansion:ghasttree2, HEADING, header:ignore, 0, 0, 0
124, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
125, ethrium:bastion_outpost, HEADING, header:ignore, 0, 0, 0
126, repurposed_structures:pyramid_ocean, HEADING, header:ignore, 0, 0, 0
127, mvs:jungle_tower, HEADING, header:ignore, 0, 0, 0
128, repurposed_structures:monument_nether, HEADING, header:ignore, 0, 0, 0
129, repurposed_structures:monument_nether, MONSTER, minecraft:magma_cube, 20, 1, 3
130, repurposed_structures:monument_nether, MONSTER, minecraft:wither_skeleton, 10, 1, 3
131, repurposed_structures:monument_nether, MONSTER, minecraft:ghast, 5, 1, 1
132, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
133, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
134, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
135, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
136, mvs:other_decoration/nether_devil, HEADING, header:ignore, 0, 0, 0
137, repurposed_structures:monument_jungle, HEADING, header:ignore, 0, 0, 0
138, repurposed_structures:monument_jungle, MONSTER, minecraft:husk, 20, 1, 4
139, repurposed_structures:monument_jungle, MONSTER, minecraft:creeper, 15, 1, 2
140, repurposed_structures:monument_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
141, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
142, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
143, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
144, ethrium:tower, HEADING, header:ignore, 0, 0, 0
145, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
146, repurposed_structures:ruined_portal_end, HEADING, header:ignore, 0, 0, 0
147, gd:pop, HEADING, header:ignore, 0, 0, 0
148, mvs:stone_fountain, HEADING, header:ignore, 0, 0, 0
149, repurposed_structures:mineshaft_nether, HEADING, header:ignore, 0, 0, 0
150, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
151, repurposed_structures:pyramid_flower_forest, HEADING, header:ignore, 0, 0, 0
152, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
153, mvs:log_pile/oak_log_pile, HEADING, header:ignore, 0, 0, 0
154, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
155, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
156, repurposed_structures:mineshaft_end, MONSTER, minecraft:endermite, 10, 2, 5
157, repurposed_structures:mineshaft_end, MONSTER, minecraft:enderman, 5, 1, 3
158, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
159, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
160, repurposed_structures:igloo_mushroom, HEADING, header:ignore, 0, 0, 0
161, mvs:other_decoration/lamp_chest, HEADING, header:ignore, 0, 0, 0
162, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
163, survivalexpansion:ghasttree3, HEADING, header:ignore, 0, 0, 0
164, graveyard:altar, HEADING, header:ignore, 0, 0, 0
165, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
166, mvs:well/rare_well, HEADING, header:ignore, 0, 0, 0
167, mvs:well/wells/end_well, HEADING, header:ignore, 0, 0, 0
168, mvs:nature/boulder, HEADING, header:ignore, 0, 0, 0
169, repurposed_structures:ancient_city_ocean, HEADING, header:ignore, 0, 0, 0
170, repurposed_structures:ancient_city_ocean, MONSTER, minecraft:drowned, 10, 2, 5
171, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
172, repurposed_structures:temple_nether_soul, HEADING, header:ignore, 0, 0, 0
173, repurposed_structures:outpost_crimson, HEADING, header:ignore, 0, 0, 0
174, repurposed_structures:outpost_crimson, MONSTER, minecraft:piglin, 10, 1, 1
175, repurposed_structures:village_oak, HEADING, header:ignore, 0, 0, 0
176, repurposed_structures:village_mushroom, HEADING, header:ignore, 0, 0, 0
177, mvs:other_decoration/lecturn_garden, HEADING, header:ignore, 0, 0, 0
178, mvs:houses/tall_house, HEADING, header:ignore, 0, 0, 0
179, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
180, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
181, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
182, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
183, repurposed_structures:outpost_mangrove, HEADING, header:ignore, 0, 0, 0
184, repurposed_structures:outpost_mangrove, MONSTER, minecraft:pillager, 10, 1, 1
185, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
186, mvs:other_decoration/end_scraps/end_scraps_2, HEADING, header:ignore, 0, 0, 0
187, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
188, repurposed_structures:pyramid_nether, HEADING, header:ignore, 0, 0, 0
189, mvs:houses/house, HEADING, header:ignore, 0, 0, 0
190, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
191, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
192, mvs:carts/large_cart_2, HEADING, header:ignore, 0, 0, 0
193, repurposed_structures:village_ocean, HEADING, header:ignore, 0, 0, 0
194, repurposed_structures:witch_hut_dark_forest, HEADING, header:ignore, 0, 0, 0
195, repurposed_structures:witch_hut_dark_forest, MONSTER, minecraft:witch, 5, 1, 1
196, repurposed_structures:witch_hut_dark_forest, CREATURE, minecraft:cat, 5, 1, 1
197, mvs:beach_bar, HEADING, header:ignore, 0, 0, 0
198, repurposed_structures:witch_hut_birch, HEADING, header:ignore, 0, 0, 0
199, repurposed_structures:witch_hut_birch, MONSTER, minecraft:witch, 5, 1, 1
200, repurposed_structures:witch_hut_birch, CREATURE, minecraft:cat, 5, 1, 1
201, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
202, mvs:nature/mushroom_pond, HEADING, header:ignore, 0, 0, 0
203, ethrium:pirate_ship, HEADING, header:ignore, 0, 0, 0
204, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
205, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
206, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
207, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
208, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
209, repurposed_structures:shipwreck_warped, HEADING, header:ignore, 0, 0, 0
210, repurposed_structures:shipwreck_warped, MONSTER, minecraft:wither_skeleton, 10, 1, 1
211, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
212, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
213, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
214, repurposed_structures:pyramid_snowy, HEADING, header:ignore, 0, 0, 0
215, survivalexpansion:ghasttree1, HEADING, header:ignore, 0, 0, 0
216, repurposed_structures:mineshaft_dark_forest, HEADING, header:ignore, 0, 0, 0
217, repurposed_structures:outpost_desert, HEADING, header:ignore, 0, 0, 0
218, repurposed_structures:outpost_desert, MONSTER, minecraft:pillager, 10, 1, 1
219, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
220, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 5, 2, 4
221, repurposed_structures:mineshaft_ocean, HEADING, header:ignore, 0, 0, 0
222, mvs:ruins/small_ruin, HEADING, header:ignore, 0, 0, 0
223, awesomedungeonnether:nth_center_square, HEADING, header:ignore, 0, 0, 0
224, survivalexpansion:mushtree1, HEADING, header:ignore, 0, 0, 0
225, repurposed_structures:pyramid_badlands, HEADING, header:ignore, 0, 0, 0
226, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
227, gd:cloud_traders, HEADING, header:ignore, 0, 0, 0
228, mvs:well/wells/jungle_well, HEADING, header:ignore, 0, 0, 0
229, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
230, repurposed_structures:temple_nether_wasteland, HEADING, header:ignore, 0, 0, 0
231, end:tomb, HEADING, header:ignore, 0, 0, 0
232, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
233, repurposed_structures:ruins_land_hot, HEADING, header:ignore, 0, 0, 0
234, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
235, mvs:ruins/tree_monument, HEADING, header:ignore, 0, 0, 0
236, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
237, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
238, repurposed_structures:temple_nether_crimson, HEADING, header:ignore, 0, 0, 0
239, repurposed_structures:outpost_taiga, HEADING, header:ignore, 0, 0, 0
240, repurposed_structures:outpost_taiga, MONSTER, minecraft:pillager, 10, 1, 1
241, mvs:other_decoration/duck, HEADING, header:ignore, 0, 0, 0
242, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
243, repurposed_structures:village_crimson, HEADING, header:ignore, 0, 0, 0
244, repurposed_structures:igloo_mangrove, HEADING, header:ignore, 0, 0, 0
245, mvs:well/wells/oak_well, HEADING, header:ignore, 0, 0, 0
246, gd:small_dungeon, HEADING, header:ignore, 0, 0, 0
247, survivalexpansion:crimtree4, HEADING, header:ignore, 0, 0, 0
248, repurposed_structures:shipwreck_crimson, HEADING, header:ignore, 0, 0, 0
249, repurposed_structures:shipwreck_crimson, MONSTER, minecraft:wither_skeleton, 10, 1, 1
250, mvs:ruins/statue_ruins, HEADING, header:ignore, 0, 0, 0
251, repurposed_structures:shipwreck_end, HEADING, header:ignore, 0, 0, 0
252, repurposed_structures:outpost_snowy, HEADING, header:ignore, 0, 0, 0
253, repurposed_structures:outpost_snowy, MONSTER, minecraft:pillager, 10, 1, 1
254, mvs:other_decoration/campsite, HEADING, header:ignore, 0, 0, 0
255, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
256, awesomedungeonnether:nth_obsi_house, HEADING, header:ignore, 0, 0, 0
257, mvs:stall/red_stall, HEADING, header:ignore, 0, 0, 0
258, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
259, repurposed_structures:ancient_city_nether, HEADING, header:ignore, 0, 0, 0
260, repurposed_structures:ancient_city_nether, MONSTER, minecraft:ghast, 10, 6, 10
261, repurposed_structures:ancient_city_nether, MONSTER, minecraft:wither_skeleton, 5, 1, 3
262, mvs:horse_pen, HEADING, header:ignore, 0, 0, 0
263, mvs:horse_pen, MONSTER, minecraft:illusioner, 5, 5, 10
264, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
265, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
266, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
267, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
268, mvs:other_decoration/villager_statue, HEADING, header:ignore, 0, 0, 0
269, mvs:well/wells/birch_well, HEADING, header:ignore, 0, 0, 0
270, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
271, repurposed_structures:village_badlands, HEADING, header:ignore, 0, 0, 0
272, mvs:small_ship, HEADING, header:ignore, 0, 0, 0
273, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
274, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
275, mvs:well/well, HEADING, header:ignore, 0, 0, 0
276, mvs:well/small_copper_well, HEADING, header:ignore, 0, 0, 0
277, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
278, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
279, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
280, ethrium:friendly_outpost, HEADING, header:ignore, 0, 0, 0
281, repurposed_structures:outpost_jungle, HEADING, header:ignore, 0, 0, 0
282, repurposed_structures:outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 1
283, ethrium:rustic_church, HEADING, header:ignore, 0, 0, 0
284, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
285, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
286, repurposed_structures:ruins_nether, HEADING, header:ignore, 0, 0, 0
287, repurposed_structures:temple_taiga, HEADING, header:ignore, 0, 0, 0
288, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
289, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
290, repurposed_structures:temple_nether_basalt, HEADING, header:ignore, 0, 0, 0
291, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
292, mvs:nature/large_mushroom, HEADING, header:ignore, 0, 0, 0
293, end:crater, HEADING, header:ignore, 0, 0, 0
294, mvs:carts/large_cart_1, HEADING, header:ignore, 0, 0, 0
295, mvs:houses/desert_house, HEADING, header:ignore, 0, 0, 0
296, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
297, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
298, mvs:cartographer_tower, HEADING, header:ignore, 0, 0, 0
299, repurposed_structures:ancient_city_end, HEADING, header:ignore, 0, 0, 0
300, repurposed_structures:ancient_city_end, MONSTER, minecraft:phantom, 30, 1, 1
301, repurposed_structures:ancient_city_end, MONSTER, minecraft:endermite, 20, 3, 7
302, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
303, repurposed_structures:monument_icy, HEADING, header:ignore, 0, 0, 0
304, repurposed_structures:monument_icy, MONSTER, minecraft:stray, 40, 1, 3
305, repurposed_structures:monument_icy, MONSTER, minecraft:vex, 5, 1, 2
306, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
307, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
308, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
309, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
310, mvs:houses/azelea_house, HEADING, header:ignore, 0, 0, 0
311, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
312, repurposed_structures:fortress_jungle, HEADING, header:ignore, 0, 0, 0
313, repurposed_structures:fortress_jungle, MONSTER, minecraft:wither_skeleton, 5, 1, 1
314, repurposed_structures:fortress_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
315, repurposed_structures:fortress_jungle, MONSTER, minecraft:zombie, 10, 1, 4
316, repurposed_structures:fortress_jungle, MONSTER, minecraft:spider, 10, 1, 3
317, repurposed_structures:fortress_jungle, MONSTER, minecraft:creeper, 5, 1, 2
318, repurposed_structures:fortress_jungle, MONSTER, minecraft:enderman, 30, 1, 2
319, repurposed_structures:fortress_jungle, MONSTER, minecraft:witch, 20, 1, 2
320, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
321, mvs:log_pile/dark_oak_log_pile, HEADING, header:ignore, 0, 0, 0
322, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
323, repurposed_structures:city_nether, MONSTER, minecraft:wither_skeleton, 10, 2, 3
324, repurposed_structures:city_nether, MONSTER, minecraft:blaze, 80, 1, 4
325, repurposed_structures:pyramid_end, HEADING, header:ignore, 0, 0, 0
326, end:hut, HEADING, header:ignore, 0, 0, 0
327, mvs:nature/floating_islands, HEADING, header:ignore, 0, 0, 0
328, repurposed_structures:village_swamp, HEADING, header:ignore, 0, 0, 0
329, mvs:ruins/stone_pillars, HEADING, header:ignore, 0, 0, 0
330, survivalexpansion:crystal, HEADING, header:ignore, 0, 0, 0
331, survivalexpansion:crimtree1, HEADING, header:ignore, 0, 0, 0
332, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
333, repurposed_structures:pyramid_jungle, HEADING, header:ignore, 0, 0, 0
334, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
335, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
336, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
337, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
338, repurposed_structures:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
339, survivalexpansion:mushtree3, HEADING, header:ignore, 0, 0, 0
340, mvs:other_decoration/stone_bee, HEADING, header:ignore, 0, 0, 0
341, repurposed_structures:village_mountains, HEADING, header:ignore, 0, 0, 0
342, repurposed_structures:mansion_mangrove, HEADING, header:ignore, 0, 0, 0
343, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
344, repurposed_structures:outpost_oak, HEADING, header:ignore, 0, 0, 0
345, repurposed_structures:outpost_oak, MONSTER, minecraft:pillager, 10, 1, 1
346, mvs:out_house, HEADING, header:ignore, 0, 0, 0
347, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
348, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
349, mvs:houses/deepslate_house, HEADING, header:ignore, 0, 0, 0
350, mvs:well/wells/nether_well, HEADING, header:ignore, 0, 0, 0
351, mvs:well/small_well, HEADING, header:ignore, 0, 0, 0
352, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
353, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
354, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
355, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
356, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
357, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
358, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 5, 1, 1
359, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 5, 1, 1
360, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
361, gd:m_caves, HEADING, header:ignore, 0, 0, 0
362, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
363, mvs:other_decoration/end_scraps/end_scraps_4, HEADING, header:ignore, 0, 0, 0
364, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
365, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
366, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
367, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
